"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"2","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"3","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003bd   2c 00 00 0c 00 00 00 1c"
"4","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003c0   00 00 0c 00 0a f8 f8 20"
"5","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"6","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"7","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 09 80 20"
"8","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"9","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"10","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000438   00 03 66 30 ff"
"11","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000043e   1d 00 01 00 00 10 00 00"
"12","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"13","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000046b   28 3c a4 00 01 00 00 00"
"14","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"15","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"16","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000047c   44 7c 42 01 51 38 70 04"
"17","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000047d   d4 c1 27 55 20 01 00 c4"
"18","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000047f   34 0c fa 00 02 9c 45 ff"
"19","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"20","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"21","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"22","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000538   aa 04 01 80 00 00"
"23","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000053d   00 02 00 00 03 81 e8 08"
"24","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 79 01 40"
"25","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000005ba   ff ff ff ff 01"
"26","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000005c0   fc f0 fc fc fc 00 e0 00"
"27","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000622   00 00 b2 80 ff 80 00 00"
"28","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000675   00 00 00 00 00 ff 80 00"
"29","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000676   00 00 3f d0 00 00 1f 40"
"30","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"31","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"32","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000069f   95 43 51 6f"
"33","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000006e9   01 70 00 2c 8a 70 e2 32"
"34","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003c0   00 00 0c 00 0a f8 f8 20"
"35","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"36","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"37","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"38","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"39","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"40","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000047c   44 7c 42 01 51 38 70 04"
"41","2022-04-12 13:30:26,522000","","","CAN","32","STD: 0x0000043e   1d 00 01 00 00 10 00 00"
"42","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x0000047d   e4 c1 27 55 20 01 00 c4"
"43","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 bd 90 20"
"44","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"45","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x0000046b   28 3c a4 00 01 00 00 00"
"46","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"47","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"48","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x000003bd   3c 00 00 0c 00 00 00 1c"
"49","2022-04-12 13:30:26,538000","","","CAN","32","STD: 0x00000438   00 03 66 30 ff"
"50","2022-04-12 13:30:26,569000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"51","2022-04-12 13:30:26,569000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"52","2022-04-12 13:30:26,569000","","","CAN","32","STD: 0x0000047f   44 0c fa 00 02 9c 45 ff"
"53","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"54","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x000003c0   00 00 0c 00 0a f8 f8 20"
"55","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"56","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"57","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"58","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"59","2022-04-12 13:30:26,585000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"60","2022-04-12 13:30:26,600000","","","CAN","32","STD: 0x0000047c   44 7c 42 01 51 38 70 04"
"61","2022-04-12 13:30:26,616000","","","CAN","32","STD: 0x000005c0   fc f0 fc fc fc 00 e0 00"
"62","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x0000047d   f4 c1 27 55 20 01 00 c4"
"63","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 7c a0 20"
"64","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"65","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x0000046b   28 3c a4 00 01 00 00 00"
"66","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"67","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"68","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x000003bd   4c 00 00 0c 00 00 00 1c"
"69","2022-04-12 13:30:26,632000","","","CAN","32","STD: 0x00000438   00 03 66 30 ff"
"70","2022-04-12 13:30:26,663000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"71","2022-04-12 13:30:26,663000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"72","2022-04-12 13:30:26,663000","","","CAN","32","STD: 0x0000047f   54 0c fa 00 02 9c 45 ff"
"73","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"74","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x000003c0   00 00 0c 00 0a f8 f8 20"
"75","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"76","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"77","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"78","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"79","2022-04-12 13:30:26,678000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"80","2022-04-12 13:30:26,694000","","","CAN","32","STD: 0x0000047c   44 7c 42 01 51 38 70 04"
"81","2022-04-12 13:30:26,710000","","","CAN","32","STD: 0x0000043e   1d 00 01 00 00 10 00 00"
"82","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x0000047d   04 c1 27 55 20 01 00 c4"
"83","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 c8 b0 20"
"84","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"85","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x0000046b   28 3c a4 00 01 00 00 00"
"86","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"87","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"88","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x000003bd   5c 00 00 0c 00 00 00 1c"
"89","2022-04-12 13:30:26,741000","","","CAN","32","STD: 0x00000438   00 03 66 30 ff"
"90","2022-04-12 13:30:26,757000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"91","2022-04-12 13:30:26,772000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"92","2022-04-12 13:30:26,772000","","","CAN","32","STD: 0x0000047f   64 0c fa 00 02 9c 45 ff"
"93","2022-04-12 13:30:26,772000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 79 01 40"
"94","2022-04-12 13:30:26,772000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"95","2022-04-12 13:30:26,772000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"96","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x000003c0   00 00 0c 00 0a f8 f8 20"
"97","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"98","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"99","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"100","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"101","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"102","2022-04-12 13:30:26,788000","","","CAN","32","STD: 0x0000047c   44 7c 42 01 51 38 70 04"
"103","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x0000047d   14 c1 27 55 20 01 00 c4"
"104","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 e3 c0 20"
"105","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"106","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x0000046b   28 3c a4 00 01 00 00 00"
"107","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"108","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"109","2022-04-12 13:30:26,835000","","","CAN","32","STD: 0x000005ba   ff ff ff ff 01"
"110","2022-04-12 13:30:26,850000","","","CAN","32","STD: 0x000003bd   6c 00 00 0c 00 00 00 1c"
"111","2022-04-12 13:30:26,850000","","","CAN","32","STD: 0x00000438   00 03 66 30 ff"
"112","2022-04-12 13:30:26,850000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"113","2022-04-12 13:30:26,866000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"114","2022-04-12 13:30:26,866000","","","CAN","32","STD: 0x0000047f   74 0c fa 00 02 9c 45 ff"
