"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"2","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047f   c4 0c fa 00 82 9c c5 ff"
"3","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"4","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 51 38 70 04"
"5","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"6","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c0   00 00 0b 00 08 f8 f8 20"
"7","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"8","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"9","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"10","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"11","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"12","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047d   e4 c1 37 55 20 01 00 c4"
"13","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 7c a0 20"
"14","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"15","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046b   48 5c a4 00 01 00 00 00"
"16","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046c   03 02 22 02 06 00 20 00"
"17","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"18","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003bd   cc 00 40 0c 00 00 00 0c"
"19","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000438   00 03 66 30 43"
"20","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"21","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047f   d4 0c fa 00 82 9c c5 ff"
"22","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"23","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 51 38 70 04"
"24","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"25","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c0   00 00 0b 00 0a f8 f8 20"
"26","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"27","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"28","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"29","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"30","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"31","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000043e   1e 00 01 00 00 10 00 00"
"32","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047d   f4 c1 37 55 20 01 00 c4"
"33","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 c8 b0 20"
"34","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"35","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046b   48 5c a4 00 01 00 00 00"
"36","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046c   03 02 22 02 06 00 20 00"
"37","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"38","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003bd   dc 00 40 0c 00 00 00 0c"
"39","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000438   00 03 66 30 43"
"40","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"41","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047f   e4 0c fa 00 82 9c c5 ff"
"42","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 79 01 3b"
"43","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"44","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"45","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 51 38 70 04"
"46","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"47","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c0   00 00 0b 00 0a f8 f8 20"
"48","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"49","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 f0 00 00 7f"
"50","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"51","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"52","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"53","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047d   04 c1 37 55 20 01 00 c4"
"54","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000418   30 06 00 03 08 e3 c0 20"
"55","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"56","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046b   48 5c a4 00 01 00 00 00"
"57","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046c   03 02 22 02 06 00 20 00"
"58","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"59","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003bd   ec 00 40 0c 00 00 00 0c"
"60","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000438   00 03 66 30 43"
"61","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000005ba   ff ff ff ff 01"
"62","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"63","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047f   f4 0c fa 00 82 9c c5 ff"
"64","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"65","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 51 38 70 04"
"66","2022-04-12 13:35:59,495000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
