"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000418   30 07 00 03 08 a0 00 a0"
"2","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"3","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046b   11 14 a0 00 01 00 00 00"
"4","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000047f   c4 0c fa 00 3a a0 45 ff"
"5","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"6","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000003bd   8c 08 40 0c 00 00 00 0c"
"7","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000003c0   00 00 09 00 08 f8 f8 20"
"8","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"9","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"10","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000418   30 06 0c 03 08 54 e0 20"
"11","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"12","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"13","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000438   00 03 6c 70 43"
"14","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000043e   21 00 01 00 00 10 00 00"
"15","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"16","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046b   10 14 a3 00 01 00 00 c0"
"17","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046c   03 02 02 02 26 00 20 00"
"18","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"19","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000047c   84 7d 42 01 51 38 70 04"
"20","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000047d   f4 c1 27 55 20 01 00 c4"
"21","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000047f   94 0c fa 00 82 9d c5 ff"
"22","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 e0 00 00 7f"
"23","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000491   7e be 00 00 60 40"
"24","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"25","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000538   aa 04 01 80 00 00"
"26","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000053d   00 02 00 00 03 81 e8 08"
"27","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 7e 01 2b"
"28","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000005ba   46 ff ff 47 01"
"29","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000005c0   fc f0 fc fc fc 00 e0 00"
"30","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000622   00 00 b2 00 ff 80 00 00"
"31","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000675   00 00 00 00 00 ff 80 00"
"32","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x00000676   00 00 3f d0 00 00 1f 40"
"33","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"34","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000069f   95 43 51 6f"
"35","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x000006e9   01 70 00 2c 4a 70 e2 b2"
"36","2022-04-12 13:56:52,357000","","","CAN","32","STD: 0x0000047c   84 7d 42 01 51 38 70 04"
"37","2022-04-12 13:56:52,385000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"38","2022-04-12 13:56:52,385000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"39","2022-04-12 13:56:52,393000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"40","2022-04-12 13:56:52,398000","","","CAN","32","STD: 0x000003c0   00 00 09 00 08 f8 f8 20"
"41","2022-04-12 13:56:52,398000","","","CAN","32","STD: 0x00000675   00 00 00 00 00 ff 80 00"
"42","2022-04-12 13:56:52,398000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"43","2022-04-12 13:56:52,398000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 e0 00 00 7f"
"44","2022-04-12 13:56:52,399000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"45","2022-04-12 13:56:52,401000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"46","2022-04-12 13:56:52,401000","","","CAN","32","STD: 0x00000622   00 00 b2 00 ff 80 00 00"
"47","2022-04-12 13:56:52,403000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"48","2022-04-12 13:56:52,403000","","","CAN","32","STD: 0x00000676   00 00 3f d0 00 00 1f 40"
"49","2022-04-12 13:56:52,414000","","","CAN","32","STD: 0x000006e9   01 70 00 2c 4a 70 e2 b2"
"50","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x000003bd   9c 08 40 0c 00 00 00 0c"
"51","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x00000438   00 03 6c 70 43"
"52","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x0000047d   04 c1 27 55 20 01 00 c4"
"53","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x00000418   30 06 0c 03 08 e0 f0 20"
"54","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"55","2022-04-12 13:56:52,430000","","","CAN","32","STD: 0x0000046b   10 14 a3 00 01 00 00 c0"
"56","2022-04-12 13:56:52,446000","","","CAN","32","STD: 0x0000046c   03 02 02 02 26 00 20 00"
"57","2022-04-12 13:56:52,446000","","","CAN","32","STD: 0x00000491   7e be 00 00 60 40"
"58","2022-04-12 13:56:52,446000","","","CAN","32","STD: 0x0000043e   21 00 01 00 00 10 00 00"
"59","2022-04-12 13:56:52,446000","","","CAN","32","STD: 0x0000047f   a4 0c fa 00 82 9d c5 ff"
"60","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x0000047c   84 7e 42 01 51 38 70 04"
"61","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"62","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"63","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"64","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x000003c0   00 00 09 00 08 f8 f8 20"
"65","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"66","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 e0 00 00 7f"
"67","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"68","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x000003c3   00 07 ff b6 32 00 08 03"
"69","2022-04-12 13:56:52,493000","","","CAN","32","STD: 0x00000437   01 10 00 3e 81 4f 01 f4"
"70","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x000003bd   ac 08 40 0c 00 00 00 0c"
"71","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x00000438   00 03 6c 70 43"
"72","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000047d   14 c1 27 55 20 01 00 c4"
"73","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x00000418   30 06 0c 03 08 02 00 20"
"74","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000046a   02 00 48 00 00"
"75","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000046b   10 14 a3 00 01 00 00 c0"
"76","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000046c   03 02 02 02 26 00 20 00"
"77","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x00000491   7e be 00 00 60 40"
"78","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000047f   b4 0c fa 00 82 9d c5 ff"
"79","2022-04-12 13:56:52,555000","","","CAN","32","STD: 0x0000047c   84 7d 42 01 51 38 70 04"
"80","2022-04-12 13:56:52,571000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"81","2022-04-12 13:56:52,571000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"82","2022-04-12 13:56:52,586000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"83","2022-04-12 13:56:52,586000","","","CAN","32","STD: 0x000003c0   00 00 09 00 08 f8 f8 20"
"84","2022-04-12 13:56:52,586000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"85","2022-04-12 13:56:52,586000","","","CAN","32","STD: 0x00000480   ff 00 42 e8 e0 00 00 7f"
"86","2022-04-12 13:56:52,586000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
