"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000025c   f7 b1 0c 00"
"2","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000000a1   02 23 00 00 00 00 00 00"
"3","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000001ef   00 00 00 00"
"4","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000047d   84 c7 07 55 e0 0d 00 c4"
"5","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000006f9   83 c0"
"6","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"7","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000003bd   9c 08 00 0c 00 00 00 1c"
"8","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000003c0   00 00 0a 00 08 f8 f8 20"
"9","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000003c3   00 07 ff b5 32 00 08 03"
"10","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"11","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000418   60 06 0c 03 08 65 00 20"
"12","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"13","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000437   41 10 40 3e 81 4d 09 f4"
"14","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000438   00 03 74 50 ff"
"15","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000043e   1f 00 01 00 00 10 00 00"
"16","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000046a   02 20 48 00 00"
"17","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000046b   00 04 ab 00 01 00 00 c0"
"18","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"19","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"20","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 91 38 70 04"
"21","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000047d   e4 c1 37 55 20 01 00 c4"
"22","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000047f   b4 0c fa 00 e2 9a c5 ff"
"23","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000480   ff 00 41 a8 d4 00 00 7f"
"24","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"25","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"26","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 84 01 09"
"27","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000005ba   ff ff ff ff 01"
"28","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000005c0   fc f0 fc fc fc 00 e0 00"
"29","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000622   00 00 b1 80 ff 80 60 10"
"30","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000675   00 00 00 00 00 ff 80 00"
"31","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x00000676   00 00 3f d0 00 00 1f 40"
"32","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"33","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000069f   95 43 51 6f"
"34","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x000006e9   01 80 00 2c 4a 60 e4 32"
"35","2022-04-12 17:19:56,317000","","","CAN","32","STD: 0x0000043e   1f 00 01 00 00 10 00 00"
"36","2022-04-12 17:19:56,348000","","","CAN","32","STD: 0x000003bd   ac 08 00 0c 00 00 00 1c"
"37","2022-04-12 17:19:56,348000","","","CAN","32","STD: 0x00000438   00 03 74 50 ff"
"38","2022-04-12 17:19:56,364000","","","CAN","32","STD: 0x0000047c   44 7e 42 01 91 38 70 04"
"39","2022-04-12 17:19:56,373000","","","CAN","32","STD: 0x0000047d   f4 c1 37 55 20 01 00 c4"
"40","2022-04-12 17:19:56,373000","","","CAN","32","STD: 0x00000418   60 06 0c 03 08 d1 10 20"
"41","2022-04-12 17:19:56,373000","","","CAN","32","STD: 0x0000046a   02 20 48 00 00"
"42","2022-04-12 17:19:56,373000","","","CAN","32","STD: 0x0000046b   00 04 ab 00 01 00 00 c0"
"43","2022-04-12 17:19:56,374000","","","CAN","32","STD: 0x0000046c   03 02 02 02 06 00 20 00"
"44","2022-04-12 17:19:56,374000","","","CAN","32","STD: 0x00000491   7e be 00 00 f0 40"
"45","2022-04-12 17:19:56,375000","","","CAN","32","STD: 0x000005ba   ff ff ff ff 01"
"46","2022-04-12 17:19:56,377000","","","CAN","32","STD: 0x0000069f   95 43 51 6f"
"47","2022-04-12 17:19:56,380000","","","CAN","32","STD: 0x000003aa   00 00 41 00 00 00 00 00"
"48","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x0000046e   00 0c 00 00 00"
"49","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000417   28 fe 00 01 00 00 f0 00"
"50","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x0000047f   c4 0c fa 00 e2 9a c5 ff"
"51","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x000003c0   00 00 0b 00 0a f8 f8 20"
"52","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x0000041c   00 00 00 00 00 00 f8 00"
"53","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000480   ff 00 41 a8 d4 00 00 7f"
"54","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000675   00 00 00 00 00 ff 80 00"
"55","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x000004c2   fc fc fc 00 00 00 00 00"
"56","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x000003c3   00 07 ff b5 32 00 08 03"
"57","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x000005b9   00 00 ff c0 02 84 01 09"
"58","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000622   00 00 b1 80 ff 80 60 10"
"59","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000437   41 10 40 3e 81 4d 09 f4"
"60","2022-04-12 17:19:56,400000","","","CAN","32","STD: 0x00000676   00 00 3f d0 00 00 1f 40"
"61","2022-04-12 17:19:56,416000","","","CAN","32","STD: 0x0000069a   00 00 00 ff c0 00 00"
"62","2022-04-12 17:19:56,431000","","","CAN","32","STD: 0x000006e9   01 80 00 2c 4a 60 e4 32"
"63","2022-04-12 17:19:56,431000","","","CAN","32","STD: 0x000003bd   bc 08 00 0c 00 00 00 1c"
"64","2022-04-12 17:19:56,431000","","","CAN","32","STD: 0x00000438   00 03 74 50 ff"
